sample_id,K,Keff,B,M,f_ibd,l_ibd,n50_ibd,samps,props
SMI000-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0225-C,1.0
SMI001-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0262-C,1.0
SMI002-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0233-C,1.0
SMI003-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0201-C,1.0
SMI004-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0210-C,1.0
SMI005-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0258-C,1.0
SMI006-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0255-C,1.0
SMI007-K01-B01-M00,1,1.0000000000000002,1,0,0.0,0.0,0.0,QG0265-C,1.0
SMI008-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0184-C,1.0
SMI009-K01-B01-M00,1,1.0,1,0,0.0,0.0,0.0,QG0200-C,1.0
SMI000-K02-B01-M02,2,1.9740350825923625,1,2,0.6479128468848758,456.8795666666667,710.092,QG0209-C;QG0250-C,0.4426562561451183;0.5573437438548817
SMI001-K02-B01-M02,2,1.8126353987197168,1,2,0.7599055754904698,487.1380909090909,756.392,QG0186-C;QG0274-C,0.3392471995518928;0.6607528004481071
SMI002-K02-B01-M01,2,1.995780853514207,1,1,0.1885366531476704,265.89546666666666,784.029,QG0208-C;QG0247-C,0.4770106929734546;0.5229893070265452
SMI003-K02-B02-M00,2,1.1856654561060722,2,0,0.0,0.0,0.0,QG0228-C;QG0184-C,0.0856280494085945;0.9143719505914056
SMI004-K02-B01-M01,2,1.8084694240753556,1,1,0.2612300343796316,307.01316666666673,491.283,QG0281-C;QG0286-C,0.3372827947684589;0.6627172052315411
SMI005-K02-B02-M00,2,1.4376953981761984,2,0,0.0,0.0,0.0,QG0187-C;QG0252-C,0.1873039596150777;0.8126960403849224
SMI006-K02-B02-M00,2,1.6995791262754756,2,0,0.0,0.0,0.0,QG0274-C;QG0269-C,0.2897846803543965;0.7102153196456035
SMI007-K02-B02-M00,2,1.7121562750936252,2,0,0.0,0.0,0.0,QG0211-C;QG0232-C,0.294989225443552;0.7050107745564481
SMI008-K02-B01-M02,2,1.6320708549134837,1,2,0.6424232334060218,617.738909090909,932.228,QG0252-C;QG0239-C,0.2625989719352236;0.7374010280647764
SMI009-K02-B02-M00,2,1.8816964086692431,2,0,0.0,0.0,0.0,QG0249-C;QG0275-C,0.3746298369596383;0.6253701630403615
SMI000-K03-B02-M02,3,2.525981483470211,2,2,0.2290170159534934,559.0131923076923,816.183,QG0209-C;QG0184-C;QG0292-C,0.1492781969777105;0.3487516738842033;0.5019701291380861
SMI001-K03-B03-M00,3,1.5200625944380093,3,0,0.0,0.0,0.0,QG0258-C;QG0299-C;QG0250-C,0.0015615713891528;0.2168846971798028;0.7815537314310443
SMI002-K03-B03-M00,3,1.8945610073925063,3,0,0.0,0.0,0.0,QG0255-C;QG0261-C;QG0208-C,0.1332387340233396;0.1741156578843602;0.6926456080923
SMI003-K03-B03-M00,3,2.776549429720832,3,0,0.0,0.0,0.0,QG0239-C;QG0274-C;QG0252-C,0.2066020021453704;0.3597214006726242;0.4336765971820053
SMI004-K03-B01-M02,3,1.944520731063395,1,2,0.6586238274086311,529.1002911392407,784.029,QG0252-C;QG0209-C;QG0291-C,0.0433856191543003;0.3127359228743843;0.6438784579713153
SMI005-K03-B03-M00,3,1.1608305839688553,3,0,0.0,0.0,0.0,QG0264-C;QG0257-C;QG0247-C,0.0067848957417771;0.0675574434554818;0.9256576608027408
SMI006-K03-B02-M02,3,2.5488988889368787,2,2,0.2385746502613426,504.6969666666668,756.392,QG0287-C;QG0269-C;QG0208-C,0.1369431419299307;0.4076613154930354;0.4553955425770338
SMI007-K03-B01-M01,3,2.663471507144847,1,1,0.231553381788812,432.2150294117647,654.215,QG0232-C;QG0277-C;QG0186-C,0.1948479240126932;0.3208777757851568;0.48427430020215
SMI008-K03-B01-M02,3,2.809775008484064,1,2,0.4895177710977735,388.3346375,665.002,QG0243-C;QG0210-C;QG0249-C,0.2575748522446598;0.2876720810331792;0.454753066722161
SMI009-K03-B03-M00,3,2.7638764729651,3,0,0.0,0.0,0.0,QG0228-C;QG0201-C;QG0264-C,0.1986991177836467;0.3752754610950614;0.426025421121292
SMI000-K04-B03-M01,4,1.7782747133053851,3,1,0.0754271817370062,563.1662352941175,858.214,QG0264-C;QG0233-C;QG0286-C;QG0269-C,0.0401671039903983;0.0665031615920197;0.1662297263207217;0.7271000080968603
SMI001-K04-B02-M03,4,2.0232906341059085,2,3,0.2695442635845177,743.7550217391305,1112.394,QG0262-C;QG0282-C;QG0200-C;QG0295-C,0.0855695976763442;0.1074236349656656;0.1298682132780551;0.6771385540799351
SMI002-K04-B04-M00,4,1.8501901144407265,4,0,0.0,0.0,0.0,QG0208-C;QG0258-C;QG0209-C;QG0195-C,0.0510478632766854;0.1171345207010942;0.1174139635089519;0.7144036525132684
SMI003-K04-B04-M00,4,3.2094157940807397,4,0,0.0,0.0,0.0,QG0295-C;QG0261-C;QG0291-C;QG0200-C,0.0767943216495914;0.1905092990565864;0.3443250933141017;0.3883712859797202
SMI004-K04-B03-M02,4,2.440938012943164,3,2,0.1223984417252034,575.3998888888889,1052.522,QG0262-C;QG0286-C;QG0277-C;QG0287-C,0.0753860460175251;0.121170473747114;0.2193039235492827;0.5841395566860781
SMI005-K04-B01-M03,4,2.190834124122886,1,3,0.6776463820900379,511.9782261904762,826.228,QG0236-C;QG0281-C;QG0249-C;QG0216-C,0.0362403287601077;0.1117358514579105;0.226416573086647;0.6256072466953347
SMI006-K04-B02-M01,4,3.118172849427321,2,1,0.1686662717658133,411.7015961538461,714.437,QG0209-C;QG0243-C;QG0247-C;QG0262-C,0.0418297613824671;0.2484657471882708;0.3030090116427192;0.4066954797865429
SMI007-K04-B01-M02,4,1.8391984521229603,1,2,0.5303709592603725,326.79105825242726,539.57,QG0264-C;QG0287-C;QG0286-C;QG0233-C,0.0145618283814006;0.0976560336584577;0.1794219723511326;0.708360165609009
SMI008-K04-B01-M03,4,1.7725692289327597,1,3,0.7773209520838664,493.31921,876.275,QG0233-C;QG0292-C;QG0243-C;QG0258-C,0.000425137885127;0.0458338152311757;0.2453095721187812;0.7084314747649161
SMI009-K04-B02-M02,4,2.3028722961791206,2,2,0.1988808983784847,537.097170212766,802.878,QG0269-C;QG0236-C;QG0282-C;QG0216-C,0.0108468684564628;0.084933941974108;0.3569709634839521;0.547248226085477
