Country,ADMIN1,Site,Longitude,Latitude,Year_start,Year_end,Num_pfhrp2_tested,Num_pfhrp2_deleted
Ethiopia,Tigray,Ahferom,,,2017,2018,117,18
Ethiopia,Tigray,Atseged Tsimbila,,,2017,2018,160,48
Ethiopia,Tigray,Gulomekeda,,,2017,2018,21,5
Ethiopia,Tigray,K. Humera,,,2017,2018,176,39
Ethiopia,Tigray,L. Adiabo,,,2017,2018,145,22
Ethiopia,Tigray,T. Adiabo,,,2017,2018,69,10
Ethiopia,Amhara,Metema,,,2017,2018,233,30
Ethiopia,Amhara,Quara,,,2017,2018,516,39
Ethiopia,Amhara,Tegede,,,2017,2018,296,65
Ethiopia,Amhara,West Armachiho,,,2017,2018,295,75
Ethiopia,Gambella,Itang,,,2017,2018,151,2
Ethiopia,Gambella,Kule Refugee Camp,,,2017,2018,472,4